taxon	location
W042_2009-01-20_bird_USA_CA_sandiego_-117.042_33.005	San-Diego
W043_2008-12-08_bird_USA_CA_sandiego_-116.802_33.016	San-Diego
W044_2008-12-01_bird_USA_CA_sandiego_-117.227_33.33	San-Diego
W045_2009-03-23_bird_USA_CA_sandiego_-117.195_33.011	San-Diego
W046_2009-04-08_bird_USA_CA_sandiego_-116.958_32.754	San-Diego
W047_2009-05-21_bird_USA_CA_sandiego_-117.261_32.972	San-Diego
W048_2008-12-22_bird_USA_CA_sandiego_-116.924_32.78	San-Diego
W049_2009-06-18_bird_USA_CA_sandiego_-116.983_33.256	San-Diego
W050_2009-09-15_bird_USA_CA_sandiego_-116.518_32.828	San-Diego
W051_2009-09-30_bird_USA_CA_sandiego_-117.072_33.26	San-Diego
W054_2013-07-23_bird_USA_CA_sandiego_-116.88_33.006	San-Diego
W056_2013-08-01_bird_USA_CA_sandiego_-117.292_33.061	San-Diego
W058_2013-11-01_bird_USA_CA_sandiego_-117.149_32.736	San-Diego
W072_2014-11-17_bird_USA_CA_sandiego_-117.084_33.029	San-Diego
W081_2015-07-28_mosquito_USA_CA_sandiego_-116.86_32.849	San-Diego
W089_2015-09-29_mosquito_USA_CA_sandiego_-117.121_33.193	San-Diego
W091_2015-10-20_mosquito_USA_CA_sandiego_-117.256_32.951	San-Diego
W097_2017-10-19_bird_USA_CA_sandiego_-117.125_32.575	San-Diego
W102_2015-08-31_bird_USA_CA_sandiego_-117.324_33.155	San-Diego
W110_2016-01-27_bird_USA_CA_sandiego_-117.003_33.099	San-Diego
W127_2008-08-11_bird_USA_CA_sanbernardino_-117.152_34.033	South-CA
W129_2008-08-15_bird_USA_CA_losangeles_-117.769_34.107	South-CA
W141_2011-08-22_bird_USA_CA_sanbernardino_-117.567_34.135	South-CA
W143_2012-06-06_bird_USA_CA_losangeles_-118.043_34.158	South-CA
W145_2012-06-14_bird_USA_CA_riverside_-117.48_34.002	South-CA
W155_2013-08-08_bird_USA_CA_losangeles_-118.391_33.859	South-CA
W156_2013-07-31_bird_USA_CA_losangeles_-117.805_34.098	South-CA
W158_2013-08-20_bird_USA_CA_butte_-121.841_39.732	North-Central-Valley
W164_2017-06-23_bird_USA_CA_losangeles_-118.623_34.197	South-CA
W168_2017-07-13_bird_USA_CA_ventura_-118.847_34.205	South-CA
W187_2011-08-11_mosquito_USA_CA_losangeles_-118.568_34.193	South-CA
W195_2012-08-23_mosquito_USA_CA_riverside_-116.061_33.462	South-CA
W196_2012-08-07_mosquito_USA_CA_losangeles_-118.039_33.937	South-CA
W203_2013-09-10_mosquito_USA_CA_losangeles_-118.436_34.293	South-CA
W208_2013-08-22_mosquito_USA_CA_losangeles_-118.515_34.222	South-CA
W209_2013-08-22_mosquito_USA_CA_losangeles_-118.494_34.19	South-CA
W210_2013-08-15_mosquito_USA_CA_sanbernardino_-117.673_34.071	South-CA
W216_2014-07-08_mosquito_USA_CA_sanbernardino_-117.664_34.082	South-CA
W219_2014-07-22_mosquito_USA_CA_losangeles_-118.065_34.679	South-CA
W221_2015-05-14_mosquito_USA_CA_losangeles_-118.197_33.945	South-CA
W502_2008-02-06_bird_USA_CA_sandiego_-117.004_32.855	San-Diego
W503_2008-03-12_bird_USA_CA_sandiego_-117.067_33.105	San-Diego
W504_2008-05-08_bird_USA_CA_sandiego_-117.092_33.028	San-Diego
W505_2008-05-22_bird_USA_CA_sandiego_-117.101_32.827	San-Diego
W506_2008-06-02_bird_USA_CA_sandiego_-117.229_32.953	San-Diego
W507_2008-06-18_bird_USA_CA_sandiego_-117.236_32.792	San-Diego
W508_2008-06-18_bird_USA_CA_sandiego_-117.236_32.792	San-Diego
W509_2008-06-18_bird_USA_CA_sandiego_-117.236_32.792	San-Diego
W510_2008-07-28_bird_USA_CA_sandiego_-117.24_32.895	San-Diego
W511_2008-08-06_bird_USA_CA_sandiego_-117.167_32.773	San-Diego
W512_2008-08-11_bird_USA_CA_sandiego_-117.223_32.948	San-Diego
W513_2008-08-25_bird_USA_CA_sandiego_-117.228_32.796	San-Diego
W514_2008-09-04_bird_USA_CA_sandiego_-117.143_32.925	San-Diego
W515_2008-09-10_bird_USA_CA_sandiego_-117.242_32.897	San-Diego
W516_2008-09-12_bird_USA_CA_sandiego_-117.198_32.788	San-Diego
W517_2008-09-19_bird_USA_CA_sandiego_-117.228_32.796	San-Diego
W518_2008-09-23_bird_USA_CA_sandiego_-117.228_32.796	San-Diego
W519_2008-09-24_bird_USA_CA_sandiego_-117.06_33.028	San-Diego
W520_2008-09-24_bird_USA_CA_sandiego_-117.078_32.733	San-Diego
W521_2008-09-25_bird_USA_CA_sandiego_-117.226_32.861	San-Diego
W522_2009-09-26_bird_USA_CA_sandiego_-117.053_32.751	San-Diego
W523_2008-11-05_bird_USA_CA_sandiego_-117.223_32.913	San-Diego
W524_2008-11-10_bird_USA_CA_sandiego_-117.236_32.783	San-Diego
W525_2008-11-17_bird_USA_CA_sandiego_-117.196_32.886	San-Diego
W526_2008-12-01_bird_USA_CA_sandiego_-117.139_32.928	San-Diego
W527_2008-12-08_bird_USA_CA_sandiego_-116.802_33.016	San-Diego
W528_2008-12-08_bird_USA_CA_sandiego_-117.058_32.951	San-Diego
W529_2008-12-22_bird_USA_CA_sandiego_-116.924_32.78	San-Diego
W530_2009-01-16_bird_USA_CA_sandiego_-117.23_32.906	San-Diego
W531_2009-01-26_bird_USA_CA_sandiego_-117.23_32.905	San-Diego
W532_2009-02-05_bird_USA_CA_sandiego_-117.051_32.751	San-Diego
W533_2009-06-18_bird_USA_CA_sandiego_-117.153_32.904	San-Diego
W534_2009-06-23_bird_USA_CA_sandiego_-116.983_33.256	San-Diego
W535_2009-09-08_bird_USA_CA_sandiego_-117.222_32.913	San-Diego
W536_2009-09-30_bird_USA_CA_sandiego_-117.224_32.913	San-Diego
W537_2009-10-22_bird_USA_CA_sandiego_-117.179_32.805	San-Diego
W542_2014-10-02_bird_USA_CA_sandiego_-117.2_32.763	San-Diego
